report_number,local_case_number,agency_name,acrs_report_type,crash_date_time,hit_run,lane_number,number_of_lanes,nontraffic,off_road_description,at_fault,collision_type,weather,light,traffic_control,driver_substance_abuse,first_harmful_event,second_harmful_event,fixed_oject_struck,route_type,mile_point,mile_point_direction,lane_direction,direction,distance,distance_unit,road_grade,road_name,cross_street_type,cross_street_name,municipality,surface_condition,junction,intersection_type,intersection_area,road_alignment,road_condition,road_division,related_non_motorist,non_motorist_substance_abuse,lane_type
MCP2871009D,230071952,Montgomery County Police,Property Damage Crash,2023-12-15T16:47:00.000,No,2,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DUSK,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),4.45,North,North,South,517.0,FEET,LEVEL,OLD GEORGETOWN RD,County,EDSON LA,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP27520061,230071949,Montgomery County Police,Property Damage Crash,2023-12-15T16:30:00.000,No,1,1,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),0.2,East,West,West,50.0,FEET,LEVEL,WILSON LA,County,BRAEBURN PL,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
MCP2608005G,230071933,Montgomery County Police,Property Damage Crash,2023-12-15T16:18:00.000,No,2,2,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,0.0,North,North,North,0.0,FEET,LEVEL,FLOWER AVE,Maryland (State),PINEY BRANCH RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP2314002W,230071940,Montgomery County Police,Injury Crash,2023-12-15T16:15:00.000,No,0,2,No,Missing,DRIVER,HEAD ON LEFT TURN,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,3.78,North,North,North,0.0,FEET,GRADE DOWNHILL,PINEY MEETINGHOUSE RD,County,CAVANAUGH DR,Missing,DRY,Missing,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,LEFT TURN LANE
MCP3256002P,230071941,Montgomery County Police,Property Damage Crash,2023-12-15T16:15:00.000,Yes,0,0,Yes,"PARKING LOT OF 12000 CHERRY HILL ROAD, SILVER SPRING, MD 20904",DRIVER,HEAD ON,CLEAR,DAYLIGHT,NO CONTROLS,"NONE DETECTED, UNKNOWN",OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP27220051,230071931,Montgomery County Police,Property Damage Crash,2023-12-15T15:55:00.000,No,1,3,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),3.44,East,West,East,0.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,Unknown,ENT TO STONEY MILL SQUARE,Missing,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP29660070,230071937,Montgomery County Police,Injury Crash,2023-12-15T15:50:00.000,No,1,1,No,Missing,DRIVER,HEAD ON,Missing,Missing,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),1.42,East,North,West,900.0,FEET,LEVEL,KEMPTOWN RD,Maryland (State),RIDGE RD,Missing,Missing,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
DD56510048,230071927,Rockville Police Departme,Property Damage Crash,2023-12-15T15:38:00.000,No,0,0,Yes,196 E MOTGOMERY AVE PARKING GARAGE,DRIVER,SINGLE VEHICLE,Missing,Missing,Missing,NONE DETECTED,FIXED OBJECT,Missing,BUILDING,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP3350002C,230071929,Montgomery County Police,Property Damage Crash,2023-12-15T15:11:00.000,No,1,2,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),1.13,East,West,West,50.0,FEET,HILL UPHILL,EAST WEST HWY,County,GLENDALE RD,Missing,DRY,NON INTERSECTION,Missing,INTERSECTION,CURVE RIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP3274001Z,230072046,Montgomery County Police,Property Damage Crash,2023-12-15T15:00:00.000,Yes,0,0,No,Missing,DRIVER,UNKNOWN,Missing,DAYLIGHT,NO CONTROLS,Missing,OTHER VEHICLE,Missing,Missing,Maryland (State),8.2,North,Unknown,North,0.0,UNKNOWN,LEVEL,NEW HAMPSHIRE AVE,County,HOBBS DR,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,OTHER,Missing,Missing,Missing
MCP3009007G,230071908,Montgomery County Police,Property Damage Crash,2023-12-15T13:50:00.000,No,2,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,STOP SIGN,Missing,OTHER VEHICLE,Missing,Missing,Maryland (State),18.33,North,North,North,0.0,FEET,LEVEL,FREDERICK RD,County,APPLEDOWRE WAY,Missing,DRY,Missing,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP291700CX,230071897,Montgomery County Police,Injury Crash,2023-12-15T13:15:00.000,No,3,3,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),1.24,East,South,West,300.0,FEET,GRADE DOWNHILL,UNIVERSITY BLVD W,Maryland (State),VEIRS MILL RD,Missing,DRY,COMMERCIAL DRIVEWAY,T-INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2965007Z,230071894,Montgomery County Police,Property Damage Crash,2023-12-15T12:50:00.000,No,0,0,Yes,17129 MOSS SIDE LANE,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,PARKED VEHICLE,Missing,CURB,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP26220040,230071890,Montgomery County Police,Property Damage Crash,2023-12-15T12:25:00.000,No,0,0,Yes,PARKING LOT OF 15618 OLD COLUMBIA PIKE,DRIVER,OTHER,CLEAR,DAYLIGHT,Missing,NONE DETECTED,PARKED VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP2203007T,230071903,Montgomery County Police,Property Damage Crash,2023-12-15T12:15:00.000,No,1,1,No,Missing,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,0.18,East,East,East,0.0,FEET,LEVEL,HARDY AVE,County,JUDSON RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
MCP2203007S,230071883,Montgomery County Police,Injury Crash,2023-12-15T11:50:00.000,No,1,1,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,0.3,West,West,West,0.0,FEET,GRADE DOWNHILL,PRICHARD RD,County,AMHERST AVE,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
HA2492000X,23002364,Maryland-National Capital,Property Damage Crash,2023-12-15T10:52:00.000,No,0,3,No,Missing,DRIVER,SAME DIR BOTH LEFT TURN,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),3.834,North,South,North,0.0,FEET,LEVEL,OLD GEORGETOWN RD,Ramp,RAMP 8 FR MD 187 SB TO RAMP 9 (TO IS270),Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
MCP235300CQ,230071836,Montgomery County Police,Injury Crash,2023-12-15T10:35:00.000,No,3,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,STOP SIGN,NONE DETECTED,OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),3.56,North,North,North,0.0,FEET,LEVEL,CONNECTICUT AVE,Municipality,FRANKLIN ST,CHEVY CHASE VIEW,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2678004K,230071857,Montgomery County Police,Injury Crash,2023-12-15T10:04:00.000,No,2,3,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,FIXED OBJECT,LIGHT SUPPORT POLE,Maryland (State),1.22,East,West,East,0.0,FEET,LEVEL,UNIVERSITY BLVD W,Unknown,SPUR FR MD 586,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP28440077,230071856,Montgomery County Police,Injury Crash,2023-12-15T09:47:00.000,No,3,4,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),13.67,East,West,East,0.0,FEET,LEVEL,OLNEY SANDY SPRING RD,County,SPARTAN RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3347001K,230071848,Montgomery County Police,Property Damage Crash,2023-12-15T08:47:00.000,No,1,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),5.921,West,West,West,50.0,FEET,LEVEL,EAST WEST HWY (W/B COUPLET),County,CHELTON RD,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,ONE-WAY TRAFFICWAY,Missing,Missing,Missing
MCP302600C5,230071853,Montgomery County Police,Property Damage Crash,2023-12-15T08:45:00.000,Yes,0,2,No,Missing,DRIVER,OTHER,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,PARKED VEHICLE,Missing,Missing,County,0.16,East,East,East,50.0,FEET,LEVEL,ORCHID DR,County,WHITTIER BLVD,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,OTHER
MCP2965007X,230071839,Montgomery County Police,Property Damage Crash,2023-12-15T07:40:00.000,No,0,4,No,Missing,DRIVER,SAME DIR BOTH LEFT TURN,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),5.09,North,South,North,0.0,FEET,LEVEL,GEORGIA AVE,County,GLENALLAN AVE,Missing,DRY,Missing,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,LEFT TURN LANE
MCP33010020,230071831,Montgomery County Police,Property Damage Crash,2023-12-15T05:15:00.000,No,1,1,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,NO CONTROLS,UNKNOWN,FIXED OBJECT,PARKED VEHICLE,MAILBOX,County,0.0,South,South,South,100.0,FEET,LEVEL,PALERMO DR,County,KILKENNY ST,Missing,DRY,Missing,Missing,Missing,CURVE LEFT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP91180048,230071828,Montgomery County Police,Property Damage Crash,2023-12-15T04:06:00.000,Yes,3,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,UNKNOWN,TRAFFIC SIGNAL,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,Maryland (State),1.36,North,North,North,0.0,FEET,LEVEL,GEORGIA AVE,Ramp,RAMP 4 FR MD 97 NB TO IS 495 EB,Missing,DRY,INTERSECTION RELATED,OTHER,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP31050058,230071818,Montgomery County Police,Injury Crash,2023-12-15T00:36:00.000,No,2,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,FLASHING TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,1.42,South,South,South,0.0,FEET,LEVEL,FATHER HURLEY BLVD,County,WISTERIA DR,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3270002D,230071808,Montgomery County Police,Property Damage Crash,2023-12-14T21:35:00.000,No,1,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,US (State),2.72,North,South,North,0.0,FEET,LEVEL,COLESVILLE RD,Maryland (State),UNIVERSITY BLVD E,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP29870089,230071804,Montgomery County Police,Injury Crash,2023-12-14T21:25:00.000,No,2,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,US (State),7.68,North,South,North,0.0,FEET,LEVEL,COLUMBIA PIKE,County,FAIRLAND RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP33560016,230071790,Montgomery County Police,Property Damage Crash,2023-12-14T19:31:00.000,No,4,4,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,NO CONTROLS,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,Maryland (State),17.62,North,North,South,100.0,FEET,LEVEL,FREDERICK RD,County,GUNNERS BRANCH RD,Missing,DRY,INTERSECTION RELATED,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP30310055,230071789,Montgomery County Police,Property Damage Crash,2023-12-14T19:10:00.000,No,1,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),10.09,North,North,North,0.0,FEET,LEVEL,NEW HAMPSHIRE AVE,County,CLOVERLY ST,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP3121005F,230071781,Montgomery County Police,Property Damage Crash,2023-12-14T18:56:00.000,No,0,0,Yes,PARKING LOT IFO 18221 LOST KNIFE CIRCLE (CIDER MILL APARTMENTS),DRIVER,OTHER,CLEAR,DARK LIGHTS ON,Missing,NONE DETECTED,PARKED VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP3145004F,230071785,Montgomery County Police,Property Damage Crash,2023-12-14T18:45:00.000,No,2,3,No,Missing,DRIVER,SAME DIRECTION RIGHT TURN,CLEAR,Missing,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),3.32,North,North,North,20.0,FEET,LEVEL,NEW HAMPSHIRE AVE,County,ELTON RD,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP3192004D,230071783,Montgomery County Police,Property Damage Crash,2023-12-14T18:34:00.000,No,2,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DARK LIGHTS ON,TRAFFIC SIGNAL,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,Maryland (State),4.28,North,North,North,0.0,FEET,LEVEL,GEORGIA AVE,County,SHOREFIELD RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2799007K,230071778,Montgomery County Police,Property Damage Crash,2023-12-14T18:30:00.000,No,1,6,No,Missing,DRIVER,SAME DIRECTION LEFT TURN,CLEAR,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,OTHER VEHICLE,Missing,US (State),1.25,North,North,North,0.0,FEET,LEVEL,COLESVILLE RD,County,N NOYES DR,Missing,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP30310054,230071769,Montgomery County Police,Property Damage Crash,2023-12-14T17:30:00.000,No,1,1,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DARK LIGHTS ON,STOP SIGN,NONE DETECTED,PARKED VEHICLE,Missing,Missing,County,0.23,North,South,North,0.0,FEET,LEVEL,WOODWELL RD,County,WOODWELL TERR,Missing,Missing,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP31610063,230071764,Montgomery County Police,Property Damage Crash,2023-12-14T17:05:00.000,No,2,4,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DUSK,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),2.22,North,North,North,0.0,FEET,LEVEL,CONNECTICUT AVE,County,JONES BRIDGE RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
DD55670022,230071752,Rockville Police Departme,Injury Crash,2023-12-14T16:31:00.000,No,3,3,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,Missing,NONE DETECTED,OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),7.78,North,South,North,0.25,MILE,LEVEL,ROCKVILLE PIKE,Municipality,TEMPLETON PL,ROCKVILLE,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2875007Z,230071773,Montgomery County Police,Property Damage Crash,2023-12-14T16:30:00.000,Yes,0,0,Yes,PARKING LOT OF 11530 MIDDLEBROOK RD.,DRIVER,OPPOSITE DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,NO CONTROLS,UNKNOWN,OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP2466004Q,230071743,Montgomery County Police,Property Damage Crash,2023-12-14T15:57:00.000,No,2,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),15.21,East,West,East,0.0,FEET,LEVEL,DARNESTOWN RD,County,RIFFLE FORD RD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP30580055,230071742,Montgomery County Police,Injury Crash,2023-12-14T15:55:00.000,No,2,2,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,NO CONTROLS,NONE DETECTED,OTHER VEHICLE,OTHER VEHICLE,Missing,Maryland (State),14.97,East,West,East,100.0,FEET,LEVEL,DARNESTOWN RD,County,NORMAN DR,Missing,DRY,NON INTERSECTION,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP1174006N,230071740,Montgomery County Police,Property Damage Crash,2023-12-14T15:53:00.000,No,3,4,No,Missing,DRIVER,SAME DIR REAR END,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,County,0.0,East,West,East,0.0,FEET,LEVEL,JONES BRIDGE RD,Maryland (State),ROCKVILLE PIKE,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
DD559500FH,230071737,Rockville Police Departme,Property Damage Crash,2023-12-14T15:30:00.000,No,3,3,No,Missing,DRIVER,OTHER,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),9.32,North,North,North,20.0,FEET,LEVEL,ROCKVILLE PIKE,Municipality,CHURCH ST,ROCKVILLE,DRY,INTERSECTION RELATED,FOUR-WAY INTERSECTION,INTERSECTION RELATED,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP30800045,230071734,Montgomery County Police,Property Damage Crash,2023-12-14T15:23:00.000,No,1,1,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,Missing,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,County,3.53,East,South,East,0.0,FEET,LEVEL,SCHAEFFER RD,County,KINGSHILL RD,Missing,DRY,INTERSECTION,T-INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, NOT DIVIDED",Missing,Missing,Missing
MCP2780007L,230071730,Montgomery County Police,Injury Crash,2023-12-14T15:15:00.000,No,1,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,FIXED OBJECT,CURB,Maryland (State),19.26,North,North,North,0.0,FEET,LEVEL,FREDERICK RD,County,SHAKESPEARE BLVD,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2686006S,230071736,Montgomery County Police,Property Damage Crash,2023-12-14T15:04:00.000,Yes,1,2,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,Missing,"N/A, NONE DETECTED",OTHER VEHICLE,Missing,Missing,Other Public Roadway,0.76,East,East,West,20.0,FEET,LEVEL,SHAWNEE LA,County,GATEWAY CENTER DR,Missing,DRY,Missing,Missing,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2314002T,230071744,Montgomery County Police,Property Damage Crash,2023-12-14T14:30:00.000,No,0,0,Yes,PARKING LOT OF 11300 GAINSBOROUGH ROAD,DRIVER,SAME DIRECTION SIDESWIPE,CLOUDY,DAYLIGHT,Missing,"N/A, NONE DETECTED",PARKED VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP3016004Q,230071722,Montgomery County Police,Property Damage Crash,2023-12-14T14:15:00.000,No,1,2,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,STOP SIGN,Missing,OTHER VEHICLE,Missing,Missing,County,0.17,East,East,East,0.0,FEET,LEVEL,MIDDLEBROOK RD,County,LOCBURY DR,Missing,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, UNPROTECTED PAINTED MIN 4 FEET",Missing,Missing,Missing
DD56520043,230071718,Rockville Police Departme,Property Damage Crash,2023-12-14T14:00:00.000,No,1,2,No,Missing,DRIVER,SAME DIRECTION SIDESWIPE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,CURB,Maryland (State),1.26,East,East,East,0.0,FEET,GRADE DOWNHILL,VEIRS MILL RD,Municipality,ATLANTIC AVE,ROCKVILLE,DRY,INTERSECTION,FOUR-WAY INTERSECTION,INTERSECTION,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
MCP2962008P,230071712,Montgomery County Police,Property Damage Crash,2023-12-14T13:27:00.000,No,0,0,Yes,PARKING LOT OF 13031 WISTERIA DRIVE,DRIVER,OTHER,CLEAR,DAYLIGHT,Missing,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
MCP285900FN,230071710,Montgomery County Police,Injury Crash,2023-12-14T13:20:00.000,No,3,3,No,Missing,DRIVER,STRAIGHT MOVEMENT ANGLE,CLEAR,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,OTHER VEHICLE,Missing,Missing,Maryland (State),12.79,North,South,North,0.0,FEET,LEVEL,FREDERICK RD,Municipality,ONEILL DR,GAITHERSBURG,DRY,INTERSECTION,FOUR-WAY INTERSECTION,Missing,STRAIGHT,NO DEFECTS,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",Missing,Missing,Missing
